IMG_ID,GUESS
aa7d3646-4e7b-11ea-8edf-001a7dda7113,吊
97e63146-4e7b-11ea-ac90-001a7dda7113,贵
ae9b4aa8-4e7b-11ea-bf47-001a7dda7113,锯
a2c56ae6-4e7b-11ea-9525-001a7dda7113,象
b1bae170-4e7b-11ea-a69b-001a7dda7113,冬
9dc898ae-4e7b-11ea-8b76-001a7dda7113,拔
a8301600-4e7b-11ea-99e3-001a7dda7113,酮
a27f41f0-4e7b-11ea-8d7d-001a7dda7113,厚
b4c65d52-4e7b-11ea-ae54-001a7dda7113,井
b068f36e-4e7b-11ea-9121-001a7dda7113,努
aae20bc8-4e7b-11ea-82cd-001a7dda7113,咳
a67683e8-4e7b-11ea-8641-001a7dda7113,厅
a5682822-4e7b-11ea-a0b5-001a7dda7113,固
b172e622-4e7b-11ea-87d0-001a7dda7113,拾
a5cd96c0-4e7b-11ea-95fe-001a7dda7113,漾
b75d6f5a-4e7b-11ea-b8cb-001a7dda7113,渺
a04cd1ba-4e7b-11ea-989e-001a7dda7113,狂
9a30d3cc-4e7b-11ea-82e0-001a7dda7113,把
9b2bdc9a-4e7b-11ea-a0df-001a7dda7113,暇
9ffa66cc-4e7b-11ea-80c4-001a7dda7113,葬
ab876728-4e7b-11ea-bf7c-001a7dda7113,被
a45a2aa2-4e7b-11ea-a103-001a7dda7113,蛊
